final all	Tobramycin_S-vs-R	Ceftazidim_S-vs-R	Ciprofloxacin_S-vs-R	Meropenem_S-vs-R	Tobramycin_SI-vs-R	Ceftazidim_SI-vs-R	Ciprofloxacin_SI-vs-R	Meropenem_SI-vs-R	Tobramycin_S-vs-IR	Ceftazidim_S-vs-IR	Ciprofloxacin_S-vs-IR	Meropenem_S-vs-IR	Tobramycin_S-vs-I	Ceftazidim_S-vs-I	Ciprofloxacin_S-vs-I	Meropenem_S-vs-I	Tobramycin_I-vs-R	Ceftazidim_I-vs-R	Ciprofloxacin_I-vs-R	Meropenem_I-vs-R	Tobramycin_I-vs-SR	Ceftazidim_I-vs-SR	Ciprofloxacin_I-vs-SR	Meropenem_I-vs-SR
ESP028	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP029	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP031	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP032	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP033	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP034	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP035	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP036	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP037	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP038	0.0	0.0		0.0	0	0	0	0	0	0	1	0	0.0	0.0	1.0	0.0			0.0		1	1	0	1
ESP039	0.0	0.0	1.0	0.0	0	0	1	0	0	0	1	0	0.0	0.0		0.0			1.0		1	1	1	1
ESP040		0.0	1.0	0.0	0	0	1	0	1	0	1	0	1.0	0.0		0.0	0.0		1.0		0	1	1	1
ESP043	1.0		1.0	0.0	1	0	1	0	1	1	1	0		1.0		0.0	1.0	0.0	1.0		1	0	1	1
ESP044	0.0	0.0	0.0		0	0	0	0	0	0	0	1	0.0	0.0	0.0	1.0				0.0	1	1	1	0
ESP046	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP047	1.0		1.0		1	0	1	0	1	1	1	1		1.0		1.0	1.0	0.0	1.0	0.0	1	0	1	0
ESP050	0.0	0.0	1.0	0.0	0	0	1	0	0	0	1	0	0.0	0.0		0.0			1.0		1	1	1	1
ESP053	1.0	0.0	1.0	1.0	1	0	1	1	1	0	1	1		0.0			1.0		1.0	1.0	1	1	1	1
ESP055	0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	1	0.0	0.0	0.0					1.0	1	1	1	1
ESP057	0.0	0.0			0	0	0	0	0	0	1	1	0.0	0.0	1.0	1.0			0.0	0.0	1	1	0	0
ESP058	0.0		0.0	0.0	0	0	0	0	0	1	0	0	0.0	1.0	0.0	0.0		0.0			1	0	1	1
ESP059	0.0		1.0	1.0	0	0	1	1	0	1	1	1	0.0	1.0				0.0	1.0	1.0	1	0	1	1
ESP060	1.0		0.0	1.0	1	0	0	1	1	1	0	1		1.0	0.0		1.0	0.0		1.0	1	0	1	1
ESP061	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
ESP063	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
ESP064	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
ESP066	0.0	0.0	1.0		0	0	1	0	0	0	1	1	0.0	0.0		1.0			1.0	0.0	1	1	1	0
ESP067	0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	1	0.0	0.0	0.0					1.0	1	1	1	1
ESP068	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
ESP069	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
ESP070	0.0	1.0	1.0	1.0	0	1	1	1	0	1	1	1	0.0					1.0	1.0	1.0	1	1	1	1
ESP071		0.0	1.0		0	0	1	0	1	0	1	1	1.0	0.0		1.0	0.0		1.0	0.0	0	1	1	0
ESP072	0.0	1.0	0.0	1.0	0	1	0	1	0	1	0	1	0.0		0.0			1.0		1.0	1	1	1	1
ESP073	0.0	1.0	1.0	1.0	0	1	1	1	0	1	1	1	0.0					1.0	1.0	1.0	1	1	1	1
ESP074	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
ESP075	0.0		1.0		0	0	1	0	0	1	1	1	0.0	1.0		1.0		0.0	1.0	0.0	1	0	1	0
ESP076	0.0	1.0	0.0		0	1	0	0	0	1	0	1	0.0		0.0	1.0		1.0		0.0	1	1	1	0
ESP077	1.0	1.0	0.0	1.0	1	1	0	1	1	1	0	1			0.0		1.0	1.0		1.0	1	1	1	1
ESP078	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
ESP079	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
ESP081	0.0			1.0	0	0	0	1	0	1	1	1	0.0	1.0	1.0			0.0	0.0	1.0	1	0	0	1
ESP082	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
ESP083	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
ESP084	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
